THE KEY TO MEDICINE AND A GUIDE FOR STUDENTS,مفتاح الطب ومنهاج الطلاب
"Definitions of the general terms genus, variety, species, the particular and the accidental: People engaged in sciences and crafts need rules that are of general application.",حدود الألفاظ الكلية التي هى الجنس والفصل والنوع والخاصة والعرض. أصحاب العلوم والصناعات يحتاجون في قوانينهم إلى الأشياء الكلية. 
because with their help their knowledge will become clearer and their crafts will take shape in their imagination. Example: A scribe cannot be a scribe if he does not conceive the meaning of the word “pencil” as applied to all pencils.,"لأن علومهم بها يتبين، والصناعات في نفوسهم بها تحصل. مثال ذلك أن الكاتب لا يكون كاتبًا، ما لم يقم في نفسه معنى القلم العام لجميع الأقلام"
"the meaning of the term “paper” as applied to all paper, and the shape of every letter of the alphabet which is applicable to each one of those letters, such as the shapes “a” and “b” that stand for all similar letters.","ومعنى القرطاس العام لجميع القراطيس، وصورة كل واحد من الحروف العامة لجميع آحاد ذلك الحرف، كالألف على الإطلاق، والباء على الإطلاق. "
"Similarly, a physician cannot be a physician unless he is familiar in general with the anatomy of human bodies and with diseases and medicines.","وكذلك الطبيب لا يكون طبيبًا، إنْ لم يعرف تشريح أبدان الناس على العموم، والدّاء والدّواء على الإطلاق. "
"If we were to suppose that the scribe can recognise the shape of the letter “b” in one instance only, it would be impossible for him to imagine another letter “b” because he is able to recognise only that particular letter.","ولو فرضنا أنّ الكاتب إنمّا فهم هذه ""الباء"" الواحدة المصوّرة في هذه الواقعة، لكان لا يتأتى لتصوير ""باء"" أخرى، لأنه إنما كان فهم تلك ""الباء"" الواحدة فقط. "
"Similarly, if the physician were ignorant of treatment in general I and understood only one specific treatment, he would be able to treat only one patient. Such is the case of all disciplines and crafts.","وكذلك الطبيب لو لم يفهم العلاج على الإطلاق، بل إنمّا فهم علاجًا واحدًا بعينه، لكان إنما يتأتّى لمعالجة شخص واحد فقط. وعلى هذا سائر العلوم والصناعات."
"People who are involved in them or who are responsible for them have developed among themselves an understanding of the totality of things and devised general rules which they apply on each and every particular matter, giving them specific terms.","فإنّ أصحابها والقيمين عليها تقوم في نفوسهم الأمور الكلية والقوانين العامة، حتى يستعملوها في واحد واحد من الأمور الجزئية، ويطابقوا بها المفردات. "
The total image to which they relate each of the various parts can be compared to the single engraving made on a precious stone embedded in your signet ring.,"ويكون حال الشيء الكلي المترسّم في نفوسهم الذي يطابقون به واحدًا واحدًا من جزئيات ذلك الكلي، كحال النقش الواحد في فصّ خاتمك. "
"it is a single engraving from which you can print in wax as many copies as you wish. Similarly, because they deal with words, specialists in logic need general terms more than any others.","فإنّه فرد واحد، ويمكن أن تطبع به ما شئت من الشمع. فأصحاب المنطق أيضًا لما كانت صناعتهم في الألفاظ، يحتاجون إلى الألفاظ الكلية دون غيرها. "
"These general terms are five in number because the general concepts are five in number. These are: genus, variety, species, the particular and the accidental.","وهذه الألفاظ الكلية، خمسة بالعدد. لأنّ المعاني الكلية أيضًا خمسة: وهى الجنس والفصل والنوع والخاصة والعرض. "
"We shall now give their definitions as is suitable for this work. Genus (al-jins): This term denotes the general innate sense of many species, such as the term “animal” which applies to people, horses and cattle.",ونحن نذكر حدودها على الجهة اللائقة بغرضنا منها. فالجنس: هو اللفظ الدال على المعنى الذاتي العام لأنواع كثيرة. كالحيوان الذي يعمّ الناس والخيل والبقر. 
"Species (al-naw'): This term denotes the innate sense of things that come under the heading “genus”, such as people, horses and cattle. Know that the term “genus” can either be in the highest position, with no other genus above it.","والنوع :هو اللفظ الدال على المعنى الذاتي المرتب تحت الجنس، كالناس والخيل والبقر. واعلم أنّ الجنس إمّا أن يكون في أعلى مرتبة بحيث لا يكون فوقه جنس آخر"
"and is then known as “the genus of genera” similar to when we say “prince of princes” or “judge of judges”. Or, it can have another genus above it. and then it takes the place of a species in relation to the genus above it.","ويسمى جنس الأجناس. كما نقول أمير الأمراء وقاضي القضاة. وإمّا أن يكون فوقه جنس آخر، فهو بالإضافة إلى الجنس الذي فوقه نوع"
"while it has the role of a genus in relation to the species beneath. It is a similar case with the term “species”. It can either have no other species beneath it and comprise only individual things, in which case it is then known as “the species of species”.","وبالإضافة إلى النوع الذي تحته جنس. وكذلك النوع إمّا أن لا يكون تحته نوع آخر، وإنمّا يحوي الأشخاص فقط، ويسمى نوع الأنواع."
"Or, it can have another species beneath it, and it would then be a species in relation to the genus above it and a genus in relation to the species below.","وإمّا أن يكون تحته نوع آخر، فهو بالإضافة إلى الجنس الذي فوقه نوع، وبالإضافة إلى النوع الذي تحته جنس. "
Its position in this case would be intermediate,ومثابته حينئذ مثابة الجنس المتوسط بين جنس الأجناس ونوع الأنواع. وهذه قسمة توضح ما قلنا. الموجود ينقسم إلى الجوهر وإلى العرَض. 
between “the genus of genera” and “the species of species”. This categorisation illustrates what has been said. That which exists (al-mawjud) can either be an essential property (al-jawhar) or an accidental quality (al-'arad).,
"The essential property can be physical or non-physical. The physical sort can be either growing or non-growing. The growing type is divided into living and non-living things, and the living things comprise those that speak and those that do not speak.","والجوهر ينقسم إلى الجسم وغير الجسم. والجسم ينقسم إلى النامي، غير النامي. والنامي ينقسم إلى الحى وغير الحىّ. والحى ينقسم إلى الناطق وغير الناطق. "
"Thus, by the essential property, I mean that which exists inherently and, by an accidental quality, I mean that which is dependent on something else for its existence. The physical (al-jism): Something that is physical has length, width and depth.","وأعني بالجوهر: ما يقوم بذاته، وبالعرَض ما يفتقر إلى غيره حتى يوجد به. والجسم: هو الطويل والعريض والعميق."
"The non-physical is the essence which exists inherently and is not dependent on something else. It has no length, no width and no depth.","وغير الجسم: الذي هو الجوهر، وهو القائم بذاته لا يفتقر في وجوده إلى غيره، وليس له طول ولا عرض ولا عمق. "
"That which grows is that which increases up to a certain limit, such as trees, plants and the bodies of animals. Non-growing things, such as stones, do not increase in size in the way that trees, plants and animals do.","والنامي: هو الذي يزيد زيادة مخصوصة، كالشجر والنبات وأبدان الحيوانات. وغير النامي هو الذي ليست له زيادة الشجر والنبات والحيوان، كالحجارة. "
The living (al-hayy): Living things have sensations and can make voluntary movements. Non-living things grow but have no sensory perception and cannot perform voluntary movements.,والحىّ: هو الذي له حس وحركة إرادية. وغير الحى: هو النامي الذي ليست له حس ولا حركة إرادية. 
"The speaking being (al-natiq): These are living beings that have intellect and can use analogy, such as human beings. Non-speaking beings are animals that have no intellect and are unable to have logical reasoning. Thus, in this categorisation that we have presented, the essential quality is “the genus of genera”","والناطق: هو الحى الذي له فكر وقياس كالإنسان، وغير الناطق: هو الحيوان الذي ليس له فكر ولا قياس. فالجوهر في هذه القسمة التي ذكرناها جنس الأجناس"
and a human being is “the species of species”. All intermediate divisions are species in relation to what is above them and genera in relation to what lies beneath them.,"والإنسان نوع الأنواع، وسائر ما بينهما من المتوسطات يسمى بالإضافة إلى ما فوقه أنواعًا، وبالإضافة إلى ما تحته أجناسًا. "
"The definition of “variety” (al-fasl): Variety is a term embracing the innate sense that differentiates between the species associated with a genus, such as the expression “the one who speaks”, which distinguishes the species of people from the genus of animals.","وحد الفصل: أنه اللفظ الدال على المعنى الذاتي الذي يميز بين الأنواع المشتركة في الجنس، كالناطق المميّز بين نوع الناس وأنواع الحيوانات. "
"The definition of the “the intrinsic” (al-khassa): This term refers to an accidental quality particular to one species and always present in all its individuals, such as the ability to laugh which is found in the species of humans.","وحدّ الخاصة: أنها اللفظ الدال على المعنى العرضيّ الذي يخص بنوع واحد، ويوجد في جميعه دائمًا، كقوة الضحك في نوع الناس."
"The definition of “the accidental” (al-arad): This term denotes an accidental quality which, if removed from the essence to which it belongs, does not annul the essence itself.","وحد العرض: أنّه اللفظ الدال على المعنى العرضي الذي إذا فرض ارتفاعه عن الذات التي هو موجود فيها، لم يجب ارتفاع الذات معه. "
"In addition, it lacks all three requisites for qualifying as an intrinsic attribute, which are: being specific to one species only, being present throughout the entire species, and existing continually in the species.","وليس له جميع شرائط الخاصة الثلاث، أعني الإختصاص بالنوع الواحد، والعموم لحميع النوع، ودوام الوجود في النوع. "
An example of an accidental quality is “white” hair: one can imagine hair existing whether it has this quality or not. Know that the universal concept represented by these five terms is known as “genus”.,"كالبياض الذي يمكن أن تتصور الشعرة موجودة مع عدمه عنها. واعلم أن المعاني الكلية التي تدل عليها هذه الألفاظ الخمسة يسمى ""جنسًا"""
"that the concept “the one who speaks” is known as a “variety”, that the concept referred to by “human being” is called a “species”.","ومعنى قوله ""الناطق"" يسمى فصلًا، والمعنى الذي يدل عليه قولنا ""الإنسان"" يسمى نوعًا"
"that “the laughing one” denotes an “intrinsic” attribute, and that the sense indicated by our saying “white-haired” is termed “accidental”.","والذي يدل عليه قولنا ""الضحاك"" يسمى خاصة، والذي يدل عليه قولنا ""بياض"" يسمى عرضًا. "
"A discussion of the terms concurrent, conformant, disparate, synonymous and derivative.",ذكر الأسماء المتفقة والمتواطئة والمترادفة والمشتقة.
"Things which exist can share the same name and the same definitions, such as individual persons each of whom share the name “human being” and are defined as human beings. Such terms are known as “conformant” (mutawatia).","الموجودات إمّا أن تتفق أسماؤها وحدودها، كأشخاص الناس الذين كل واحد منهم يسمى إنسانًا، ويُحَدُّ بحد الإنسان، وتسمى هذه ""المتواطئة"". "
"Or, both names and definitions can be different, such as “a human being” and “a horse”. Here the two names are different and the definitions also are different.","وإمّا أن تختلف أسماؤها وحدودها، كالإنسان والفرس، فإنّ الإسمين مختلفان، والحدين أيضًا مختلفان"
for the definition of a human being is “a living being that speaks” and the definition of a horse is “a living being that neighs”. Such terms are called “disparate” (mutabayina).,"إذ كان الحد الإنسان أنه الحى الناطق، وحد الفرس أنه الحى الصهال، وهذه تسمى ""المتباينة""."
"Or, their names can be the same but their definitions different. Examples: the word “animal” can refer to a real animal or to an animal that is sketched on a wall.","وإما أن تتفق أسماؤها وتختلف حدودها، كالحيوان الحقيقي، والحيوان المصور على الحائط"
"the word “najm” (lit., star) can refer to the Pleiades or it can mean “a flower without a stem”. Such names are known as “concurrent” (muttafiqa).","وكالنجم الذي هو الثّريّا، والنجم الذي هو النبات بلا ساق، وهذه تسمى ""المتفقة الأسماء""."
"Or, their names might be different but the definitions similar. I mean that their meanings are the same but the names can be many, such as the terms asad and layth, both meaning “lion”. Such terms are called “synonymous” (mutaradifa).","وإما أن تختلف أسماؤها، وتتفق حدودها، أعني: أن يكون المعنى واحدًا، والأسماء كثيرة، كالأسد والليث، وهذه تسمى ""المترادفة الأسماء""."
"Or, there might be partial concurrence as well as disparity in both name and definition. Examples are: “courageous” and “courage”. Such terms are known as “derivatives” (mushtaqqa).","وإما أن تتفق في بعض الإسم وبعض الحد، وتختلف في بعضها، كالشجاع والشجاعة، وهذه تسمى ""المشتقة الأسماء"". "
"On the genera of existing things and the terms used to express them, known as “categories” (al-maqolat).",ذكر أجناس الموجودات والألفاظ الدالة عليها التي تسمى المقولات
"All that exists comes under ten main genera, that is “genus of genera (summa genera)"". These have ten terms, known as “categories”.","الموجودات كلها تنحصر تحت عشرة أجناس عالية هي أجناس الأجناس، ولها أسماء عشرة، تسمى ""المقولات""."
Something which exists can be one of two things only: It may exist by itself without the need of a place to which it is attached for its existence.,وذلك أنّ الموجود لا يخلو إمّا أنْ يكون قائمًا بنفسه غير محتاج إلى محل يتعلق وجوده بالكون فيه
"Examples are the Sun and Moon, land and water, the horse and the donkey, and so on. Such a thing is known as a “substance (jawhar)"".","وهذا مثل الشمس والقمر ومثل الأرض والماء ومثل الفرس والحمار، وهذا القبيل يسمى ""جوهرًا"". "
"Or, it can require a place to which it must be attached for its existence. Examples are blackness and whiteness, heat and cold, and the relation between father and son, and that between son and father. This sort is known as “accidental (arad)"".","أو يكون مفتقرًا إلى شئ يحله ويتعلق وجوده به، كالسواد والبياض والحرارة والبرودة والأبوة والبنوة، وهذا القبيل يسمى ""عرضًا"". "
"The definition of “substance” is that it is self-existent “[al-qa'bil bidhatih"" and capable of having contrasting qualities. These are two types: One has length, width and depth and is known as “body” or as “physical substance”.","فأما الجوهر، فحده أنّه بذاته القابل للمتضادات، وهو ضربان: أحدهما له طول وعرض وعمق ويسمى ""جسمًا وجوهرًا جسمانيًا"" "
"Examples are as the sky, the earth, and all bodies that exist between them. For all of these, their essence can have contrasting qualities, such as light and darkness, stillness and movement, heat and cold.","كالسماء والأرض وسائر الأجسام الموجودة ما بينهما. فإنّ هذه كلها قائمة بذاتها قابلة للمتضادات، كالضوء والظلمة والسكون والحركة والحرارة والبرودة. "
"The second type has no length, breadth nor depth, and it is known as “spiritual substance”. An example is the soul (al-nafs), whose essence can have opposite qualities.","والضرب الثاني ليس له طول ولا عرض ولا عمق، ويسمى ""جوهرًا روحانيًا""، كالنفس فإنها قائمة بذاتها، قابلة للمتضادات"
"such as knowledge and ignorance or happiness and sadness. It has none of the three physical dimensions that have been previously mentioned. As for the accidental (al-arad), it comprises nine categories: The first of these is quantity (kammiyya).","كالعلم والجهل والفرح والحزن، وليس لها شئ من الأبعاد الثلاثة التي ذكرناها. وأما العرض فيقع على تسعة أجناس أحدها: جنس الكمية "
"as, for example, size meaning that a body is equivalent to an arm’s length or a hand-span or, for example, number, meaning that something is five or ten in quantity.","كالمقدار، وهو المعنى أنه يقال به في الجسم أنه ذراع أو شبر، وكالعدد، وهو المعنى الذي يقال في الشيء أنه خمسة أو عشرة. "
"The second is quality (kayfiyya), such as black or white, hot or cold, moist or dry, and illness or health. The third category of accidentals is relation (idafa).","والثاني: جنس الكيفية، كالسواد والبياض وكالحرارة والبرودة والرطوبة واليبوسة وكالمرض والصحة. والثالث من الأعراض: جنس الإضافة"
"It deals with the relationship between two things, each of which is dependent upon the other for its existence. Example: the concept of “doubling”, which is the reciprocal (al-mutaqaddima)' state between double and half.","وهى النسبة بين شيئين كل واحد منهما يوجد بوجود الآخر. مثال ذلك: الضِعفية، فإنها الحال المتقدمة بين الضِعف والنصف"
"and the concept of “halving”, which is the reciprocal state between half and double. It is clear that both qualities of being double and being half can only exist no if the other exists, and that each would vanish if the other disappears.","والنِصفية، فإنها الحال المتقدمة بين النِصف والضِعف. ومن البين أن كل واحد من الضِعف والنِصف يوجد إذا وجد الآخر، ويعدم إذا عدم. "
"Similar to this is the term “fatherhood”, the bond between father and son, and “brotherhood”, the bond between brothers. The fourth type of “accidental” is referred to as the category of “where (ayna)”. This refers to the relationship between a thing and its locality.","وكذلك البنوة التي بين الأب وابنه، والأخوة التي بين الأخ وأخيه. الرابع من الأعراض: الجنس الملقب بجنس ""أينَ""، وهو النسبة التي تحدث بين الشيء ومكانه"
"as, for example, what we understand when we say “Zayd is in the market”, or “Muhammad is in the meeting room”, or “Sa'id is in Baghdad”. It is called “where” because it is the answer to the questioner who says, “Where is Zayd?”","كالمعنى، المفهوم من قولنا: ""زيد في السوق""، و ""محمد في المجلس""، و ""سعيد ببغداد"". ويسمى جنس أينَ، لأنه هو الذي يعود في جواب السائل إذا قال: ""أينَ زيد""؟"
"or “Where is Muhammad?” The reference here is neither to the thing that is in the place nor to the place itself, but rather to a concept arising from a certain thing being in its place.","و""أينَ محمد""؟ وهذا المعنى ليس هو الشيء الذي في المكان ولا لمكان بنفسه بل هو معنى وجد من حصول المتمكن في مكانه. "
The fifth category of accidentals is that which is known as the category of “when (mata)”. This refers to the relationship between a thing and the time at which it occurs.,"والخامس من الأعراض: هو الجنس الملقب بجنس ""متى""، وهو النسبة الحادثة بين الشيء وبين زمانه الذي فيه يقع"
"Examples are what is understood when we say “The war occurred in such and such a year”, or “We met on such and such a day”. This is called the category of “when” because it is said in answer to the question “When did such and such a thing happen?”.","مثال ذلك ما يفهم من قولنا: ""كانت الحرب في سنة كذا""، و ""التقينا في يوم كذا"". وسمي هذا جنس متى لأنه هو العائد في جواب من يسئله، فيقول: ""متى كان كذا وكذا""؟"
"or “When will this happen?” The reference here is neither to the time nor to the event, but rather the concept that arose from the relationship between the time and what occurred in it.","و ""متى يكون كذا"". وليس هذا المعنى زمانًا، ولا ما في زمان، بل هو معنى انبجس مما بين الزمان والشيء الكائن فيه. "
"The sixth category of accidentals is that which is known as “position and posture” (wad' and nasba). This refers to the relationship between the parts of a thing and the parts of its locality, and to the form a thing takes when it is situated.","والسادس من الأعراض: هو المعروف بجنس ""الوضع والنصبة""، وهو النسبة بين أجزاء الشيء وأجزاء مكانه، والهيئة الحاصلة للشيء عند وضعه. "
"An example is the meaning conveyed when we say of something that it is sitting, standing, lying down or reclining. The seventh category of accidentals is what is known as the category of “possession” (lahu) or “property” (qunya).","كالمعنى الذي به يقال للشيء أنه قاعد وقائم ومستلق ومضطجع. والسابع من الأعراض: هو الذي يسمونه جنس ""له""، وجنس ""القنية"""
"This relates a thing to what it is in direct contact with or intimately connected to, so that when it moves the other in moves. Examples are the meanings conveyed when we say armed, armoured, wearing a signet ring, wearing shoes, or wearing a shirt.","وهو نسبة الشيء إلى ما يباشره أو يطيف به، مما ينتقل بانتقال الشيء، كالمعنى المفهوم من قولنا: متسلح دارع متختّم متنعّل متقمّص. "
"The intention here is not the weapon, the armour, the signet ring, the shoes, or the shirt, nor is it the person who is wearing these things, but rather the concept that is created when a person wears them.","وهذا المعنى ليس هو السلاح أو الدرع أو الخاتم أو النعل أو القميص، ولا هو أيضًا لابس هذا، بل هو المعنى الذي يحصل للّابس عندما يلبس هذا. "
"The eighth category of accidentals is action (to act, yaf-al). This occurs when something acts upon and affects something else.","والثامن من الأعراض: جنس ""يفعل""، وهو المعنى الذي يحصل للشيء من تحريكه لغيره وتأثيره فيه"
"such as the meaning implied by the expressions “Fire bums wood”, and “Ice cools the body”. The ninth category of accidentals is affection (to be acted upon, yanfal).","كالمعنى المفهوم من قولك: ""النار يحرق الحطب"" ، ""الثلج يبرد البدن"". والتاسع من الأعراض: جنس ""ينفعل"" "
"It is the sense that arises when a thing is influenced by another and accepts its impact. Examples are the sense in statements such as: “The cloth was burned”, “The water froze”, and “The piece of wood was broken”.","وهو المعنى الذي يحصل للشيء من تحركه عن غيره وقبوله تأثيره. كالمفهوم من قولك: ""احترق الثوب""، ""جمد الماء"" ، ""انكسرت الخشبة""."
"The total number of categories of existing things is ten: one is “substance”, and the remaining nine are “accidentals”. The latter are known as: quantity, quality, relation, where, when, position, possession, action, and being acted upon.","فجميع أجناس الموجودات عشرة: واحد جوهر، وتسعة أعراض. وهى الجوهر والكمية والكيفية والإضافة وأين ومتى والوضع والقنية ويفعل وينفعل. "
"None of these categories can be embodied in another, but each is a major category with its own characteristic features that distinguish it from the others, without any real similarity but God knows best.","وليس يدخل واحد من هذه الأجناس تحت الآخر، بل كل واحد منهما جنس عال متميز به بنفسه عن الباقية، غير مواخ لها بمشاكلة حقيقة والله أعلم. "
A discussion of opposites (mutaqabilat),ذكر المتقابلات 
Contradictory terms deal with the same subject but do not agree about it. It would seem that they are called opposites because of the opposition existing between them and the lack of harmony and agreement.,"الشيئان المتقابلان هما اللذان موضوعهما واحد، ولا يمكن أن يجتمعا فيه معًا، وكأنهما سميّا متقابلين للعناد الموجود بينهما، وعدم الائتلاف والاجتماع."
Opposites are of four types: The first includes terms that are opposites because of a relational connection between them. An individual can be a father and a son.,"وأصناف المتقابلات أربعة: أحدهما المتقابلة على طريق الإضافة، كالأبوّة والبنوّة. فإنّ الشخص الواحد يمكن أنْ يكون أبًا وأن يكون ابنًا"
"However, the two qualities of parenthood and being a child cannot belong to him on the same side. By this I mean that Zayd cannot be the father of 'Amr and, also, his son. Similar terms are: slave and master, and double and half.","إلا أن الأبوة والبنوة لا يوجدان فيه معًا من جهة واحدة. أعني أن زيدًا لا يجوز له أن يكون أبًا لعمرو وابنًا له معًا، وكذلك العبد والسيد والضِعف والنِصف. "
"If, however, Zayd is the father of 'Amr and the son of Sa'id, then parenthood in this instance is not the opposite of being a son. The second type includes terms that are opposites through contradiction. Examples are blackness and whiteness, health and illness, knowledge and ignorance.","فإنْ كان زيد أبًا لعمرو وابن السعيد لم تكن الأبوة ها هنا مقابلة للبنوة. والصنف الثاني: المتقابلة على طريق التضاد، كالسواد والبياض والصحة والسقم والعلم والجهل"
"The third type encompasses terms that are opposites because they represent possession of something or the lack of it, such as blindness and sight, baldness and hairiness. The fourth type includes opposites due to negation and affirmation.","والصنف الثالث: المتقابلة على طريق العدم والملكة، كالعمى والبصر والصلع والقرع. والصنف الرابع: المتقابلة على طريق السلب والإيجاب. "
"This type is found particularly in speech, where it is used mainly in reports. Terms of affirmation assert a thing by a phrase, such as saying “Zayd is honourable”. Negation is denial of something, such as saying “Zayd is not honourable”.","وهذه توجد خصوصًا في الكلام. ومن جملة الكلام في الخبر. فالإيجاب إثبات الشيء بالقول. كقولك: ""زيد فاضل"" ، والسلب نفي الشيء، كقولك: ""ليس زيد فاضلًا""."
"Know that terms of affirmation and negation are called “the contradictory two”, because each nullifies the other. They split truth and falsehood between them.","واعلم أنّ الإيجاب والسلب يسميان النقيضين، لأنّ كلّ واحد منهما نقيض الآخر. وهما يقتسمان الصدق والكذب"
"that is to say, one of them is always true and the other always false. If you were to take any two contradictory terms, you are bound to find something to which one of the contradictory qualities is applicable.","أعني: أنّ أحدهما صادق والآخر كاذب أبدًا. وأي نقيضين فرضتهما، لم يخل شيء من الأشياء من أن يصدق عليه أحدهما. "
A discussion of educational methods,ذكر أنحاء التعليم
Methods and systems of education are ways needed for teaching or learning all that needs to be known. These are four in number.,أنحاء التعليم ومسالك التعليم هى الطرق التي بها يكون تعليم كلّ ما يُعلّم وتَعلّم كل ما يتعلم. وهى أربعة بالعدد 
"The first is division; the second, analysis; the third, definition; and the fourth, proof. These four methods are essential for the exposition of scientific information. “Division means turning one item into many.","أولها القسم، والثاني التحليل، والثالث الحد، والرابع البرهان. وذلك ان البيانات العلمية لا تخلو من هذه الأربعة. فالقسمة: هى أن يجعل الواحد كثيرًا"
"There are eight ways of doing this: The first: to sub-divide a genus into species, such as dividing the term “animal” into people, horses and cattle.","وذلك على ثمانية أوجه: أحدها: أن يقسم الجنس إلى أنواعه، كقسمة الحيوان إلى الناس والخيل والبقر. "
"The second: to sub-divide a species into units, such as dividing the term “human being” into Zayd, 'Amr and Sa'id. The third: to sub-divide the “whole” into identical parts.",والثاني: أن يقسم النوع إلى أشخاصه كقسمة الإنسان إلى زيد وعمرو وسعيد. والثالث: أن يقسم الكل إلى الأجزاء المتشابهة
"such as dividing a rock into pebbles, and the coin dirham into the smaller coins of daniqs. The fourth: to sub-divide the whole into non-homogeneous parts, such as dividing the body of Zayd into the hand, the foot and the head.","كقسمة الصخرة إلى الحصاة، والدرهم إلى الدوانيق. والرابع: أن يقسم الكل إلى الأجزاء الغير المتشابهة، مثل ما يقسم بدن زيد إلى اليد والرجل والرأس. "
"The fifth: to sub-divide a collective term into its separate connotations, such as when we say that the term najm (lit., star) means “the Pleiades”, as well as “a plant that has no stalk”.","والخامس: أن يقسم الاسم المشترك إلى المعاني التي يدل عليها، كما نقول: إن النجم يقع على الثريا وعلى النبات الذي لا ساق له. "
"The sixth: to sub-divide an accidental into “essential” qualities, such as saying that something white can be a human being, a bird, or a stone.","والسادس: أن يقسم العرض إلى الجواهر، كما نقول: إنّ من الأبيض ما هو إنسان، ومنه ما هو طائر، ومنه ما هو حجر. "
"The seventh: to sub-divide a substance into accidentals, such as saying “that some people are black, and some are white”.","والسابع: أن يقسم الجوهر إلى الأعراض، مثل أن نقول: إنّ من الناس من هو أسود، ومنهم من هو أبيض. "
"The eighth: to sub-divide an accidental into incongruous qualities, such as saying, “A black thing can be hot, and it can be cold”.","الثامن: أن يقسم العرض إلى أعراض غريبة، كقولنا: الأسود منه حار ومنه بارد."
"Analysis (tahlil): It is similar to division in that it encompasses many things, but here we need mention only two. One is analysis of the definition and the other is analysis in reverse.","والتحليل كالقسمة في أنه أيضًا على وجوه كثيرة، غير أنّا نحتاج ها هنا إلى أن نذكر ضربين من ضروبه: أحدهما تحليل الحد، والآخر التحليل بالعكس. "
"“Analysis of the definition (tahlil al-hadd)” is sub-dividing a thing into the parts of which it is made. Examples are “a human is an animal that talks”, or “an animal is a body that has sensory perception and voluntary movement”.","أمّا تحليل الحد: فهو أن يقسّم حد الشيء إلى أجزائه التي منها تركب، كقولك: ""الإنسان حيوان ناطق"" ، و ""الحيوان جسم حساس ومتحرك بإرادة"". "
"Our definition of medicine belongs in this class, for we stated, “Medicine is the knowledge of health, illness, and conditions that are neither the one nor the other.”","وفي هذا القبيل يدخل الحد الذي حدّدناه الطب. فقلنا: ""إنّ الطب هو معرفة الأمور الصحية والأمور المرضية والأمور التي ليست بصحية ولا مرضية"""
"Each of these divisions can be sub-divided into causes and symptoms. As for “analysis by inversion (tahlil bi-l'aks)”, it entails analysing a compound thing into the simple units that form it, starting from the last to be made and going to the first.","وكل واحد من هذا ينقسم إلى الأسباب والعلامات. وأما التحليل بالعكس: فهو أن يحلل الشيء المركب إلى البسائط التي منها تركب، ويبتدأ بآخره فيرجع إلى أوله. "
Example: “A human being is made up of the soul and the body; his body is made up of homogeneous organs; homogeneous organs are composed of the four humours.,"وذلك مثل قولنا: ""الإنسان مركب من نفس وبدن، وبدنه من الأعضاء المتشابهة، والأعضاء المتشابهة مركبة من الأخلاط الأربعة"
the four humours come from food; and food is constituted from the four elements.” Definition (al-hadd): It means the combining of many things under one general term. Example: “A human is a being that talks.”,"والأخلاط من الأغذية، والأغذية من الأسطقسات الأربعة"". والحد: هو أن يجعل الكثير واحدًا ويجمع فيه، كقولنا: ""الإنسان هو الحي الناطق"". "
"Here, we have combined the large number of individuals embraced by the species “human” under this one definition. But enough has already been said about this subject.",فقد جمعنا الأشخاص الكثيرة التي يحويها نوع الإنسان تحت هذا الحدّ الواحد. وقد وصفنا الحد فيما تقدم من كلامنا بما فيه الكفاية. 
"Proof (al-burhsri): It can have a general or a particular application. As for the general use, this involves analogical reasoning (al-qiyas).",والبرهان: قد يستعمل على العموم وعلى الخصوص. أما على العموم فبمعنى القياس
Analogy is the process by which known or accepted premises are brought together so as to produce a hitherto unknown or unaccepted idea.,"والقياس: هو الكلام المركب من مقدمات معلومة أو مسلّمة، لتنتج منه معنى مجهول أو غير مسلم. "
"An example: “Tertian fever (ghibb) results from yellow bile, and every condition resulting from yellow bile is hot and dry; therefore tertian fever is hot and dry.”","مثل أن نقول: ""حمى الغب كائنة عن الصفراء، وكل كائن عن الصفراء فهو حار يابس، فحمّى الغبّ حارة يابسة"". "
"With regard to its particular application, proof consists of the analogical process leading to the truth of the matter being proved. It is the method by which the last is explained by means of the first, and it proceeds from the beginning towards the end, opposite to the direction followed by the method of analysis.","وأما على الخصوص، فالبرهان: هو القياس الذي يفضي إلى حقيقة الشيء المبرهن، وهو الذي يبين الآخر بالأول، وينزل من المبدأ إلى المنتهى بالضد من حال التحليل"
That is why it is known as synthesis (tarkib). Example: “The elements are the constituents of plants; from plants we get the humours; from the humours we get homogeneous organs.,"ولذلك يسمى التركيب. كقولنا: ""الأسطقسات يتركب منها النبات، ويحدث من النبات الأخلاط، ومن الأخلاط الأعضاء المتشابهة الأجزاء"
"from homogeneous organs we get the ‘compound’ organs; and from compound organs we get the body. Therefore, the body is made up of elements.”","ومن الأعضاء المتشابهة الأجزاء الأعضاء الآلية، ومن الأعضاء الآلية البدن، فالبدن إذًا من الأسطقسات. "
A discussion of the eight objectives: It is customary for writers to state the objectives of a book at its beginning. They call these “headers”.,"ذكر المطالب الثمانية: التي من عادة المفسرين أن يذكروها في صدر كل كتاب، وهم يسمونها الرؤوس. "
"Presented to the student before he commences reading the book, these “headers” can be of incalculable value and help. They are: a: The aim of the book. B: The benefit that can be gleaned from it. C: Its summary description.","هذه المطالب إذا قدمت للمتعلم أمام شروعه في قراءة الكتاب عظم جدواها عليه، ومعونتها له، وهى: أ، غرض الكتاب. ب، والمنفعة المستفادة منه. ج، وسمته."
