حي بن يقظان تأليف ابن طُفيل,HAYY IBN YAQZAN a Philosophical Tale of IBN TUFAYL
وبحسب ما يكون الشيء المدرَك أتم وأبهى وأحسن يكون الشوق أكثر والتألم لفقده أعظم؛ ولذلك كان تألم من يفقد بصره بعد الرؤية أعظم من تألم من يفقد شمه؛ إذ الأشياء التي يدركها البصر أتم وأحسن من التي يدركها الشم.,"The more beautiful, whole, or good the objects he once knew, the greater his longing for them and grief at their loss. For this reason the sorrow of a man who has lost his sight is greater than that of one who has lost his sense of smell, for the objects of sight are higher and better than those of smell."
"فإن كان في الأشياء شيء لا نهاية لكماله ولا غاية لحسنه وجماله وبهائه وهو فوق الكمال والبهاء والجمال وليس في الوجود كمال ولا حسن ولا بهاء ولا جمال إلا صادر من جهته وفائض من قِبله فمن فقد إدراك ذلك الشيء بعد أن تعرف به فلا محالة أنه ما دام فاقدًا له يكون في آلام لا نهاية لها كما أن من كان مدركًا له على الدوام فإنه يكون في لذة لا انفصام لها، وغبطة لا غاية وراءها وبهجة وسرور لا نهاية لهما.","If there is a Being Whose perfection is infinite, Whose splendor and goodness know no bounds, Who is beyond perfection, goodness, and beauty, a Being such that no perfection, no goodness, no beauty, no splendor does not flow from Him, then to lose hold of such a Being, and having known Him to be unable to find Him must mean infinite torture as long as He is not found. Likewise to preserve constant awareness of Him is to know joy without lapse, unending bliss, infinite rapture and delight."
وقد كان تبين له أن الموجود الواجب الوجود متصف بأوصاف الكمال كلها ومنزه عن صفات النقص وبريء منها.,"Hayy had already realized that while He transcends all privations, every attribute of perfection can be applied to the Necessarily Existent."
"وتبين له أن الشيء الذي به يتوصل إلى إدراكه أمر لا يشبه الأجسام ولا يفسد لفسادها فظهر له بذلك أن من كانت له مثل هذه الذات المعدة لمثل هذا الإدراك فإنه إذا أُطرح البدن بالموت فإما أن يكون قبل ذلك — في مدة تصريفه للبدن — لم يتعرف قط بهذا الموجود الواجب الوجود ولا اتصل به ولا سمع عنه، فهذا إذا فارق البدن لا يشتاق إلى ذلك الموجود ولا يتألم لفقده.","He also knew that what in him had allowed him to apprehend this Being was unlike bodies and would not decay as they did. From this he saw that, leaving the body at death, anyone with an identity like his own, capable of awareness such as he possessed, must undergo one of these three fates: If, while in command of the body, he has not known the Necessarily Existent, never confronted Him or heard of Him, then on leaving the body he will neither long for this Being nor mourn His loss."
"وأما جميع القوى الجسمانية فإنها تبطل ببطلان الجسم فلا تشتاق أيضًا إلى مقتضيات تلك القوى ولا تحن إليها ولا تتألم لفقدها. وهذه حال البهائم غير الناطقة كلها، سواء كانت من صورة الإنسان أو لم تكن.","His bodily powers will go to ruin with the body, and thus make no more demands or miss the objects of their cravings now that they are gone. This is the fate of all dumb animals— even those of human form."
"وإما أن يكون قبل ذلك — في مدة تصريفه للبدن — قد تعرف بهذا الموجود وعلم ما هو عليه من الكمال والعظمة والسلطان والحسن إلا أنه أعرض عنه واتبع هواه حتى وافته منيته وهو على تلك الحال فيحرم المشاهدة وعنده الشوق إليها فيبقى في عذاب طويل وآلام لا نهاية لها. فإما أن يتخلَّص من تلك الآلام بعد جهد طويل ويشاهد ما تشوَّق إليه قبل ذلك، وإما أن يبقى في آلامه بقاءً سرمديًّا بحسب استعداده لكل واحد من الوجهين في حياته الجسمانية.","If, while in charge of the body, he has encountered this Being and learned of His goodness but turned away to follow his own passions, until death overtook him in the midst of such a life, depriving him of the experience he has learned to long for, he will endure prolonged agony and infinite pain, either escaping the torture at last, after an immense struggle, to witness once again what he yearned for, or remaining forever in torment, depending on which direction he tended toward in his bodily life."
"وأما مَن تعرَّف بهذا الموجود الواجب الوجود قبل أن يفارق البدن، وأقبل بكلِّيته عليه والتزم الفكرة في جلاله وحسنه وبهائه ولم يعرض عنه حتى وافته منيته، وهذا على حال من الإقبال والمشاهدة بالفعل؛ فهذا إذا فارق البدن بقي في لذة لا نهاية لها وغبطة وسرور وفرح دائم لاتصال مشاهدته لذلك الموجود الواجب الوجود وسلامة تلك المشاهدة من الكدر والشوائب، ويزول عنه ما تقتضيه هذه القوى الجسمانية من الأمور الحسية التي هي — بالإضافة إلى تلك الحال — آلام وشرور وعوائق.","If he knows the Necessarily Existent before departing the body, and turns to Him with his whole being, fastens his thoughts on His goodness, beauty, and majesty, never turning away until death overtakes him, turned toward Him in the midst of actual experience, then on leaving the body, he will live on in infinite joy, bliss, and delight, happiness unbroken because his experience of the Necessarily Existent will be unbroken and no longer marred by the demands of the bodily powers for sensory things—which alongside this ecstasy are encumbrances, irritants and evils."
"فلما تبيَّن له أن كمال ذاته ولذتها إنما هو بمشاهدة ذلك الموجود الواجب الوجود على الدوام مشاهدةً بالفعل أبدًا حتى لا يعرض عنه طرفة عين؛ لكي توافيه منيته وهو في حال المشاهدة بالفعل، فتتصل لذته دون أن يتخللها ألم. وإليه أشار الجنيد، شيخ الصوفية وإمامهم، عند موته بقوله لأصحابه: هذا وقت يؤخذ منه الله أكبر وأحرم للصلاة.","Seeing that self-realization and happiness meant constant actual experience of the Necessarily Existent, turning away not for an instant so that when death came it would find him rapt in ecstasy and the continuity of his delight would remain unbroken by pain, Hayy considered how he might maintain continuous, actual awareness without distraction. [سقطمنالنسخة]"
ثم جعل يتفكَّر كيف يتأتى له دوام هذه المشاهدة بالفعل حتى لا يقع منه إعراض فكان يلازم الفكرة في ذلك الموجود كل ساعة فما هو إلا أن يسنح لبصره محسوس ما من المحسوسات أو يخرق سمعه صوت بعض الحيوان أو يتعرضه خيال من الخيالات أو يناله ألم في أحد أعضائه أو يصيبه الجوع أو العطش أو البرد أو الحر أو يحتاج القيام لدفع فضوله فتختل فكرته ويزول عما كان فيه ويتعذر عليه الرجوع إلى ما كان عليه من حال المشاهدة إلا بعد جهد. وكان يخاف أن تفجأه منيته وهو في حال الإعراض فيفضي إلى الشقاء الدائم وألم الحجاب.,"He would concentrate on that Being for a time, but as soon as he did some sensory thing would present itself to view, some animal cry would split his ears, some image would dart across his mind, he would feel a pain somewhere, or get hungry or thirsty or hot or cold, or have to get up to relieve himself. His thoughts would be disrupted, and he would lose what he had begun to reach. It was impossible for him to recapture the experience without tremendous effort; and he feared death might surprise him in a moment of distraction, leaving him to sink into the everlasting misery and torment of deprivation."
فساءه حاله ذلك وأعياء الدواء. فجعل يتصفح أنواع الحيوانات كلها وينظر أفعالها وما تسعى فيه لعله ينظر في بعضها أنها شعرت بهذا الموجود وجعلت تسعى نحوه فيتعلم منها ما يكون سبب نجاته.,"The malady was grave, and he did not know the cure. Hayy went back over all the animal species, checking all their doings and strivings to see whether he might not find one that was aware of this Being and made Him its goal, to learn from it how to save himself."
فرآها كلها إنما تسعى في تحصيل غذائها ومقتضى شهواتها من المطعوم والمشروب والمنكوح والاستظلال والاستدفاء وتجدُّ في ذلك ليلها ونهارها إلى حين مماتها وانقضاء مدتها.,"But all animals, he saw, struggled day and night simply getting enough to eat, satisfying their appetites for food, water, mates, shade, and shelter, until their span of time was up and they died."
"ولم يرَ شيئًا منها ينحرف عن هذا الرأي ولا يسعى لغيره في وقت من الأوقات، فبان له بذلك أنها لم تشعر بذلك الموجود ولا اشتاقت إليه ولا تعرفت إليه بوجه من الوجوه، وأنها كلها صائرة إلى العدم أو إلى حال شبيه بالعدم.","Not one could be seen to diverge from the pattern or ever strive toward anything else. Apparently, then, none of them was aware of this Being, desired Him, or had any notion of Him. All of them would turn to nothing, or next to nothing."
فلما حكم على ذلك بالحيوان علم أن الحكم على النبات أولى؛ إذ ليس للنبات من الإدراكات إلا بعض ما للحيوان.,"Having judged this to be true of animals, Hayy recognized that it would be all the more so with plants, which have only a fraction of the avenues of perception open to animals."
وإذا كان الأكمل إدراكًا لم يصل إلى هذه المعرفة فالأنقص إدراكًا أحرى أن لا يصل مع أنه رأى أيضًا أن أفعال النبات كلها لا تتعدى الغذاء والتوليد.,"If animals whose apprehension is the better and more complete, are incapable of reaching this level of consciousness, then beings whose perception is stunted are all the further removed from such an attainment. After all, the whole of plant functioning goes no further than nutrition and reproduction."
"ثم إنه بعد ذلك نظر إلى الكواكب والأفلاك فرآها كلها منتظمة الحركات جارية على نسق ورآها شفافة ومضيئة بعيدة عن قبول التغيير والفساد فحدس حدسًا قويًّا أن لها ذوات سوى أجسامها تعرف ذلك الموجود الواجب الوجود وأن تلك الذوات العارفة ليست بأجسام ولا منطبعة في أجسام مثل ذاته هو العارفة، وكيف لا يكون لها مثل تلك الذوات البريئة عن الجسمانية ويكون لمثله على ما به من الضعف وشدة الاحتياج إلى الأمور المحسوسة، وأنه من جملة الأجسام الفاسدة ومع ما به من النقص؟","He looked to the stars and spheres then, seeing how all circled in an ordered array of rhythmic motion. They were diaphanous and luminous, far above all change and decay, and he made a strong surmise that they too had identities apart from their bodies, identities which knew this necessarily existent being and were neither physical nor imprints on anything physical. How could they not have such identities, free of all that is bodily, when, with all his weakness, his desperate dependence on sensory things, and despite the fact that he lived among decaying bodies, even he had such a self?"
فلم يَعُقْه ذلك عن أن تكون ذاته بريئة عن الأجسام لا تفسد فتبين له بذلك أن الأجسام السماوية أولى بذلك وعلم أنها تعرف ذلك الموجود الواجب الوجود وتشاهد على الدوام بالفعل؛ لأن العوائق التي قطعت به هو عن دوام المشاهدة من العوارض المحسوسة لا يوجد مثلها للأجسام السماوية.,His inadequacy did not prevent his true being from standing independent of all physical things and incorruptible. Clearly the heavenly bodies must be all the more so. Thus Hayy knew that they would know the Necessarily Existent and that their awareness of Him would be continuously actual since they are not subject to such hindrances as the sensory distractions that interrupted his own contemplation.
ثم إنه تفكر: لم اختُصَّ هو من بين سائر أنواع الحيوانات بهذه الذات التي أشبه بها الأجسام السماوية.,He asked himself then why he of all living beings should be singled out to possess an identity that made him very like the stars.
"وقد كان تبيَّن له أولًا من أمر العناصر واستحالة بعضها إلى بعض وأن جميع ما على وجه الأرض لا يبقى على صورته بل الكون والفساد متعاقبان عليه أبدًا وأن أكثر هذه الأجسام مختلطة مركبة من أشياء متضادة ولذلك تئول إلى الفساد وأنه لا يوجد منه شيء صرفًا، وما كان منها قريبًا من أن يكون صرفًا خالصًا لا شائبة فيه فهو بعيد عن الفساد جدًّا مثل الذهب والياقوت، وأن الأجسام البسيطة صرفة؛ ولذلك هي بعيدة عن الفساد والصور لا تتعاقب عليها.","He had seen how the elements changed into one another. Nothing on the face of the earth kept the same form. All was in a constant alternation of build-up and breakdown. Most bodies were mixtures, compounded of conflicting things, and so all the more prone to degeneration. No physical thing was pure, although those which came closest to untainted purity, such as gold and sapphire, lasted longest. The heavenly bodies were pure and uncompounded, and for this reason not subject to a succession of forms, and virtually beyond destruction."
وتبيَّن له هنالك أن جميع الأجسام التي في عالم الكون والفساد منها ما تتقوَّم حقيقتها بصورة واحدة زائدة على معنى الجسمية — وهذه هي الأسطقسات الأربعة — ومنها ما تتقوم حقيقتها أكثر من ذلك كالحيوان والنبات.,"Hayy had learned, moreover, that of bodies in the world of generation and decay some, namely the four elements, were made up of just one form besides physicality, while others, such as plants and animals, comprised more than one additional form."
"فما كان قوام حقيقته بصور أقل كانت أفعاله أقل وبُعده عن الحياة أكثر؛ فإن عدم الصورة جملة لم يكن فيه إلى الحياة طريق، وصار في حال شبيهة بالعدم.","Those with the fewest forms to compose their reality showed the least activity and were at the furthest remove from life. If form were absent completely, life was totally impossible; the result was something very like non-being."
"وما كان قوام حقيقته بصور أكثر كانت أفعاله أكثر ودخوله في حالة الحياة أبلغ، وإن كانت تلك الصور بحيث لا سبيل إلى مفارقتها لمادتها التي اختصَّت بها كانت الحياة حينئذٍ في غاية الظهور والكمال والقوة.","Beings composed of a greater number of forms showed more activity and a closer approach to life. When form became inseparable from matter, then life was present at its strongest, stablest, and most unmistakable."
"فالشيء العديم الصورة جملة هو الهيولى والمادة، ولا شيء من الحياة فيها وهي شبيهة بالعدم، والشيء المتقوم بصورة واحدة هي الأسطقسات الأربعة وهي في أول مراتب الوجود في عالم الكون والفساد، ومنها تتركَّب الأشياء ذوات الصور الكثيرة.","What has no form at all is hyle, matter. It is not in the least alive, but next to non-existent. Composed with just one form are the four elements, occupying the lowest ontic rungs in the world of generation and decay. From these are compounded things with more than one form."
وهذه الأسطقسات ضعيفة الحياة جدًّا؛ إذ ليست تتحرك إلا حركة واحدة وإنما كانت ضعيفة الحياة لأن لكل واحد منها ضدًّا ظاهر العناد يخالفه في مقتضى طبيعته ويطلب أن يغير صورته. فوجوده لذلك غير متمكن وحياته ضعيف والنبات أقوى حياةً منه والحيوان أظهر حياةً منه.,"The elements have a very weak claim on life, not only because each has only one mode of motion, but also because each has an opposite working directly against it, tending to cancel its effects and eradicate its form. For this reason its existence is unstable and its “life” tenuous. The purchase of plants on life is stronger, however; and animals are plainly more alive than they."
وذلك أن ما كان من هذه المركبات تغلب عليه طبيعة أسطقس واحد فلقوته فيه يغلب طبائع الأسطقسات الباقية ويبطل قواها ويصير ذلك المركَّب في حكم الأسطقس الغالب فلا يستأهل لأجل ذلك من الحياة إلا يسيرًا ضعيفًا.,The reason is that in ordinary compounds the nature of one element predominates. Its strength in the composite overwhelms the other elements and destroys their capacities to function. Such a compound passes under the sway of the prevailing element and thus becomes unsuited for life to any but a trivial degree—just as that element alone makes a negligible bid for life.
"وما كان من هذه المركبات لا تغلب عليه طبيعة أسطقس واحد منها، فإن الأسطقسات أظهر فيه، ولا يستوي عليه أحدها فيكون بعيد الشبه من كل واحد من الأسطقسات وتكون فيه متعادلة متكافئة، فإذن لا يبطل أحدها قوة الآخر بأكثر مما يبطل ذلك الآخر قوته، بل يفعل بعضها في بعض فعلًا متساويًا فلا يكون فعل أحد الأسطقسات أظهر فيه ولا يستولي عليه أحدها فيكون بعيد الشبه من كل واحد من الأسطقسات فكأنه لا مضادَّة لصورته فيستأهل الحياة بذلك.","In those compounds, however, which are not dominated by the nature of one element, where the elements are mutually tempered and counterbalanced (and for this reason one element does not wipe out the effective force of its opposite to any greater degree than its own power of action is checked by the other), each element’s potential will do its work on the other to just the right extent, allowing the activity of one to show up no plainer than that of any other. No one element will take over the whole, so the whole will bear little resemblance to any of them. Its form, then, will have virtually no direct opposite—thus it will be ideally suited for life."
ومتى زاد هذا الاعتدال وكان أتم وأبعد من الانحراف كان بعده عن أن يوجد له ضد أكثر وكانت حياته أكمل.,"The stronger and stabler the equilibrium, the harder it is to find any opposite to work against it and the fuller its share in life."
"ولما كان الروح الحيواني الذي مسكنه القلب شديد الاعتدال؛ لأنه ألطف من الأرض والماء وأغلظ من النار والهواء صار في حكم الوسط ولم يضاده شيء من الأسطقسات مضادة بيِّنة، فاستعد بذلك لصورة الحيوانية فرأى أن الواجب على ذلك أن يكون أعدل ما في هذه الأرواح الحيوانية مستعدًّا لأتم ما يكون من الحياة في عالم الكون والفساد، وأن يكون ذلك الروح قريبًا من أن يقال إنه لا ضد لصورته فيشبه لذلك هذه الأجسام السماوية التي لا ضد لصورها ويكون روح ذلك الحيوان، وكأنه وسط بالحقيقة بين الأسطقسات التي لا تتحرك إلى جهة العلو على الإطلاق ولا إلى جهة السفل، بل لو أمكن أن يُجعل في وسط المسافة بين المراكز وأعلى ما تنتهي إليه النار في جهة العلو ولم يطرأ عليه الفساد لثبت هناك ولم يطلب الصعود ولا النزول.","Since the vital spirit situated in the heart is securely balanced in such an equilibrium, being finer than earth or water, but denser than fire or air, it is a middle so to speak, and no one element is in direct conflict with it. This fits it well for life. The implication Hayy drew from this was that the vital spirit with the stablest equilibrium would be fit for the highest form of life to be found in the world of generation and decay. The form of such a spirit could virtually be said to have no opposite. In this it would resemble the heavenly bodies, the forms of which have none at all. The spirit of such an animal, being truly at a mean among the elements, would have absolutely no tendency up or down. In fact, if it could be set in space, between the center and the outermost limit of fire, without being destroyed, it would stabilize there, neither rising nor falling."
"ولو تحرك في المكان لتحرك حول الوسط كما تتحرك الأجسام السماوية، ولو تحرك في الوضع لتحرك على نفسه وكان كروي الشكل إذ لا يمكن غير ذلك فإذن هو شديد الشبه بالأجسام السماوية.","If it moved in place, it would orbit like the stars, and if it moved in position it would spin on its axis. Its shape could only be spherical. Thus it would bear a strong resemblance to the heavenly bodies."
"ولما كان قد اعتبر أحوال الحيوان ولم يرَ فيها ما يُظن به أنه شعر بالموجود الواجب الوجود وقد كان علم من ذاته أنها قد شعرت؛ به قطع بذلك على أنه هو الحيوان المعتدل الروح الشبيه بالأجسام السماوية، وتبين له أنه نوع مباين لسائر أنواع الحيوان، وأنه إنما خُلق لغاية أخرى وأُعِدَّ لأمر عظيم لم يعدَّ له شيء من أنواع الحيوان، وكفى به شرفًا أن يكون أخس جزأيه — وهو الجسماني — أشبه الأشياء بالجواهر السماوية الخارجة عن عالم الكون والفساد المنزَّهة عن الحوادث النقص والاستحالة والتغيُّر.","Hayy had considered all phases of animal life and found none that gave him reason to suspect it was aware of the Necessarily Existent. But his own consciousness informed him that it was aware of Him. He was sure, for this reason, that he himself was the ideally balanced animal, kindred spirit of the celestial bodies. Apparently, he was a species set apart from all other animal species, created for a different end than all the rest, dedicated to a great task which no animal could undertake. Sufficient to establish his superiority was the fact that even his lower, bodily half bore the closest resemblance to those heavenly star substances that lived beyond the world of generation and decay, far beyond all change and want."
"وأما أشرف جزأيه فهو الشيء الذي به عرف الموجود الواجب الوجود، وهذا الشيء العارف أمر رباني إلهي لا يستحيل ولا يلحقه الفساد ولا يوصف بشيء مما توصف به الأجسام، ولا يُدرك بشيء من الحواس ولا يتخيل ولا يتوصل إلى معرفته بآلة سواه، بل يُتوصَّل إليه به، فهو العارف والمعروف والمعرفة، وهو العالم والمعلوم والعلم، لا يتباين في شيء من ذلك؛ إذ التباين والانفصال من صفات الأجسام ولواحقها، ولا جسم هنالك ولا صفة جسم ولا لاحق بجسم.","As for his nobler part, it was by this that he knew the Necessarily Existent Being. This conscious part was something sovereign, divine, unchanging and untouched by decay, indescribable in physical terms, invisible to both sense and imagination, unknowable through any instrument but itself, yet self-discovered, at once the knower, the known and knowing, the subject and object of consciousness, and consciousness itself. There is no distinction among the three, for distinction and disjunction apply to bodies. But here there is no body and physical predicates and relations do not apply."
فلما تبين له الوجه الذي اختصَّ به من بين سائر أصناف الحيوان بمشابهة الأجسام السماوية رأى أن الواجب عليه أن يتقبلها ويحاكي أفعالها ويتشبه بها جهده.,"Seeing that what made him different from all other animals made him like the heavenly bodies, Hayy judged that this implied an obligation on his part to take them as his pattern, imitate their action and do all he could to be like them."
"وكذلك رأى أنه بجزئه الأشرف الذي به عرف الموجود الواجب الوجود فيه شبه ما منه من حيث هو منزَّه عن صفات الأجسام، كما أن الواجب الوجود منزَّه عنها.","By the same token, Hayy saw that his nobler part, by which he knew the Necessarily Existent, bore some resemblance to Him as well. For like Him it transcended the physical."
"ورأى أيضًا أنه يجب عليه أن يسعى في تحصيل صفاته لنفسه من أي وجه أمكن، وأن يتخلق بأخلاقه ويقتدي بأفعاله ويجدَّ في تنفيذ إرادته ويسلم الأمر له ويرضى بجميع حكمه رضًا من قلبه ظاهرًا وباطنًا بحيث يسر به، وإن كان مؤلمًا لجسمه وضارًّا به ومتلفًا لبدنه بالجملة.","Thus another obligation was to endeavor, in whatever way possible, to attain His attributes, to imitate His ways, and remold his character to His, diligently execute His will, surrender all to Him, accept in his heart His every judgement outwardly and inwardly. Even when He caused harm or pain to his body, even if He destroyed it completely, he must rejoice in His rule."
وكذلك أيضًا رأى أن فيه شبهًا من سائر أنواع الحيوان بجزئه الخسيس الذي هو من عالم الكون والفساد وهو البدن المظلم والكثيف الذي يطالبه بأنواع المحسوسات من المطعوم والمشروب والمنكوح.,"He recognized, however, that he was like the lesser animals in his lower half, the body, for it belonged to the world of generation and decay. It was dull and dark and demanded sensory things of him—food, drink, intercourse."
"ورأى أيضًا أن ذلك البدن لم يخلق له عبثًا، ولا قُرن به لأمر باطل، وأنه يجب عليه أن يتفقَّده ويصلح شأنه، وهذا التفقد لا يكون منه إلا بفعل يشبه أفعال سائر الحيوان.","Still he knew that this body had not been created for him idly. It had not been linked with him for nothing. He must care for and preserve it, even though in so doing he would do no more than any animal."
"فاتجهت عنده الأعمال التي يجب عليه أن يفعلها نحو ثلاثة أغراض: إما عمل يتشبه بالحيوان غير الناطق، وإما عمل يتشبه بالأجسام السماوية، وإما عمل يتشبه به بالموجود الواجب الوجود.","His duties, then, seemed to fall under three heads, those in which he would resemble an inarticulate animal, those in which he would resemble a celestial body, and those in which he would resemble the Necessarily Existent Being."
فالتشبه الأول: يجب عليه من حيث البدن المظلم ذو الأعضاء المنقسمة والقوى المختلفة والمنازع المتفننة.,"He had to act like an animal to the extent that he had a dull, sublunary body with differentiated parts and conflicting powers and drives."
"والتشبه الثاني: يجب عليه من حيث له الروح الحيواني الذي مسكنه القلب، وهو مبدأ لسائر البدن ولما فيه من القوى.","He had an obligation to imitate the stars in virtue of the vital spirit in his heart, which was command point for the rest of the body and all its powers."
والتشبه الثالث: يجب عليه من حيث هو؛ أي من حيث هو الذات التي بها عرف ذلك الموجود الواجب الوجود.,"It was his obligation to become like the Necessarily Existent because he was (and to the extent that he was) himself, that is to the extent of his identity with that self which brought him his awareness of the Necessarily Existent Being."
وكان أولًا قد وقف على أن سعادته وفوزه إنما هما في دوام المشاهدة لهذا الموجود الواجب الوجود حتى يكون بحيث لا يعرض عنه بطرفة عين.,Hayy had learned that his ultimate happiness and triumph over misery would be won only if he could make his awareness of the Necessarily Existent so continuous that nothing could distract him from it for an instant.
"ثم إنه نظر بالوجه الذي يتأتى له به هذا الدوام، فأخرج له النظر أنه يجب عليه الاعتمال في هذه الأقسام من التشبهات: أما التشبه الأول، فلا يحصل له به شيء من هذه المشاهدة بل هو صارف عنها وعائق دونها؛ إذ هو تصرف في الأمور المحسوسة والأمور المحسوسة كلها حجب معترضة دون تلك المشاهدة، وإنما احتيج إلى هذا التشبه لاستدامة هذا الروح الحيواني الذي يحصل به التشبه الثاني بالأجسام السماوية. فالضرورة تدعو إليه من هذا الطريق ولو كان لا يخلو من تلك المضرة.","He had wondered how this might be achieved and now came to the conclusion that the means would be to practice these three forms of mimesis. The first would by no means give him this ecstasy. On the contrary, it would hinder the experience and distract him from it, since it meant handling sensory things, and all sense objects are veils blocking out such experience. This type of imitating was needed only to preserve the vital spirit, by which he might accomplish the second sort of assimilation, that by which he would become like the heavenly bodies. Thus the first type was a necessity despite its inherent drawbacks."
وأما التشبه الثاني فيحصل له به حظ عظيم من المشاهدة على الدوام لكنها مشاهدة يخالطها شوب؛ إذ مَن يشاهد ذلك النحو من المشاهدة على الدوام فهو مع تلك المشاهدة يعقل ذاته ويلتفت إليها حسبما يتبين بعد هذا.,"His second type of imitation, however, did bring a large measure of continuity to his contemplation. Still the experience was not altogether untainted, for at this level of experience, one remains self-conscious and self-regarding, as will be made clear shortly."
"وأما التشبه الثالث فتحصل به المشاهدة الصرفة والاستغراق المحض الذي لا التفات فيه بوجه من الوجوه إلا إلى الموجود الواجب الوجود، والذي يشاهد هذه المشاهدة قد غابت عنه ذات نفسه وفنيت وتلاشت. وكذلك سائر الذوات كثيرة كانت أو قليلة إلا ذات الواحد الحق الواجب الوجود — جل وتعالى وعز.","The third sort of imitation is attainment of the pure beatific experience, submersion, concentration on Him alone Whose existence is necessary. In this experience the self vanishes; it is extinguished, obliterated—and so are all other subjectivities. All that remains is the One, True identity, the Necessarily Existent—glory, exaltation, and honor to Him."
"فلما تبين له أن مطلوبه الأقصى هو هذا التشبه الثالث وأنه لا يحصل له إلا بعد التمرن والاعتمال مدة طويلة في التشبه الثاني، وأن هذه المدة لا تدوم له إلا بالتشبه الأول، وعلم أن التشبه الأول، وإن كان ضروريًّا فإنه عالق بذاته وإن كان معينًا بالعرض لا بالذات لكنه ضروري؛ فألزم نفسه ألا يجعل لها حظًّا من هذا التشبه الأول إلا بقدر الضرورة، وهي الكفاية التي لا بقاء للروح الحيواني بأقل منها.","Hayy knew that his supreme goal was this third form of mimesis; but this would not be his without a long stint of training and self-discipline through the second, and this itself would not hold up for long if he neglected the first. He knew also that serving his first likeness, although necessary and per accidens helpful, would hamper his true self. So he made himself a rule to impose on himself no more of this first form of imitation than was necessary to keep the vital spirit on the brink of survival."
"ووجد ما تدعو إليه الضرورة في بقاء هذا الروح أمرين؛ أحدهما: ما يمده به من داخل ويخلف عليه بدل ما يتحلل منه وهو الغذا. والآخر: ما يقيه من الخارج ويدفع عنه وجوه الأذى، من البرد والحر والمطر ولفح الشمس والحيوانات المؤذية ونحو ذلك.","Necessity called for two things to preserve this spirit: one to sustain it from within and replace what broke down, that is food; and the other to protect if from without and keep off various sorts of harm such as heat and cold, rain, too much sun, and harmful animals."
"ورأى أنه إن تناول ضرورية من هذه جزافًا كيفما اتفق، ربما وقع في السرف وأخذ فوق الكفاية، فكان سعيه على نفسه من حيث لا يشعر، فرأى أن الحزم له أن يفرض لنفسه فيها حدودًا لا يتعداها ومقادير لا يتجاوزها.","If he heedlessly allowed himself these necessities when and where he found them, he might well go too far and take more than he needed. Without his realizing it, his efforts might work against him. The prudent thing, Hayy saw, would be to set himself a limit he would not overstep. There would be certain fixed quantities he would not surpass."
وبان له أن الغرض يجب أن يكون في جنس ما يتغذى به. وأي شيء يكون وفي مقداره وفي المدة التي تكون بين العودات إليه.,"He must make rules about what to eat, how much, and how often."
"فنظر أولًا في أجناس ما به يتغذى فرآها ثلاثة أضرب؛ أولًا: إما نبات لم يكمل بعدُ نضجه ولم ينتهِ إلى غاية تمامه، وهي أصناف البقول الرطبة التي يمكن الاغتذاء بها. وإما ثمرات النبات الذي قد تمَّ وتناهى وأخرج بذره، ليتكون منه آخر من نوعه؛ حفظًا له، وهي أصناف الفواكه رطبها ويابسها. وإما حيوان من الحيوانات التي يتغذى بها؛ إما البرية وإما البحرية.","He first considered what to eat. There seemed to be three sorts of food: plants that had not yet reached peak maturity, that is various edible green vegetables; fruits of plants that had completed their life cycles and were ready to produce a new generation, comprising fresh and dried fruit; and animals, terrestrial and marine."
"وكان قد صح عنده أن هذه الأجناس كلها من فعل ذلك الموجود الواجب الوجود، الذي تبين له أن سعادته في القرب منه وطلب التشبه به. ولا محالة أن الاغتذاء بها مما يقطعها عن كمالها ويحول بينها وبين الغاية القصوى المقصودة بها.","All these he was certain were the work of that Necessarily Existent Being, whom he must endeavor to be like, as he now saw clearly, if he were to attain happiness. Feeding on them would unavoidably cut them off from their own fulfillment and prevent them all from achieving their intended purpose."
فكأن ذلك اعتراض على فعل الفاعل. وهذا الاعتراض مضاد لما يطلبه من القرب منه والتشبه به.,This would mean opposition to the work of the Creator and defeat the whole aim of drawing near Him and becoming like Him.
"فرأى أن الصواب كان له لو أمكن أن يمتنع عن الغذاء جملةً واحدة، لكنه لما لم يمكنه ذلك ورأى أنه إن امتنع عنه آل ذلك إلى فساد جسمه فيكون ذلك اعتراضًا على فاعله أشد من الأول؛ إذ هو أشرف من تلك الأشياء الأُخر التي يكون فسادها سببًا لبقائه.","The answer, apparently, was, if possible, to give up eating completely. Unfortunately he could not do so because not eating tended to make his own body waste away, which was even more glaring a contradiction to the work of his Creator, since he was superior to those other beings whose destruction meant his survival."
"فاستهل أيسر الضررين وتسامح في أخف الاعتراضين، ورأى أن يأخذ من هذه الأجناس إذا عدمت أيها تيسر له، بالقدر الذي يتبين له بعد هذا.","So Hayy chose the lesser of evils. He was forced to condone in himself the slighter form of opposition to His work. He decided that if some varieties of food were unavailable, he would take whatever came most readily to hand in a quantity he would set."
